ax,ay,az,gx,gy,gz,label,sample_id
0.9736,0.2795,-0.3745,4.5802,1.8397,-0.3130,0,0_0
0.9729,0.2808,-0.3665,5.4275,3.4046,0.4504,0,0_0
0.9846,0.2737,-0.3652,5.1221,3.9160,0.2214,0,0_0
0.9846,0.2666,-0.3525,5.0076,3.6183,0.3511,0,0_0
0.9714,0.2693,-0.3589,5.9924,3.5954,0.9466,0,0_0
0.9851,0.2549,-0.3762,6.2595,3.9771,1.4198,0,0_0
0.9895,0.2507,-0.3816,5.1832,3.9237,0.6336,0,0_0
0.9834,0.2529,-0.3677,3.3588,3.8626,-1.1298,0,0_0
0.9653,0.2542,-0.3623,2.4580,3.9924,-2.1374,0,0_0
0.9626,0.2544,-0.3560,2.2519,3.5878,-2.6794,0,0_0
0.9578,0.2588,-0.3569,2.1145,2.2290,-2.1527,0,0_0
0.9473,0.2593,-0.3572,1.9313,1.6947,-0.6336,0,0_0
0.9478,0.2515,-0.3479,1.6183,2.1679,0.5191,0,0_0
0.9507,0.2520,-0.3430,1.6641,2.3588,0.6183,0,0_0
0.9456,0.2507,-0.3481,1.8779,2.9008,0.6565,0,0_0
0.9536,0.2461,-0.3613,1.4580,2.7481,0.5420,0,0_0
0.9587,0.2400,-0.3594,0.2672,1.8779,0.9466,0,0_0
0.9644,0.2500,-0.3491,-0.6794,0.6947,1.0534,0,0_0
0.9700,0.2358,-0.3464,-1.1527,-1.1450,0.6031,0,0_0
0.9646,0.2402,-0.3318,-1.8626,-2.4733,-0.1756,0,0_0
0.9607,0.2395,-0.3391,-2.1450,-2.9389,-0.9084,0,0_0
0.9526,0.2319,-0.3306,-2.6412,-2.9389,-0.9924,0,0_0
0.9500,0.2454,-0.3276,-2.6107,-2.7481,-0.3130,0,0_0
0.9482,0.2368,-0.3293,-3.0534,-2.2214,0.3893,0,0_0
0.9451,0.2441,-0.2983,-2.9695,-2.3511,1.1069,0,0_0
0.9507,0.2434,-0.3083,-1.1756,-1.6565,2.6870,0,0_0
0.9673,0.2395,-0.3203,0.3435,-2.0992,3.3740,0,0_0
0.9773,0.2422,-0.3372,0.3511,-1.9924,3.2824,0,0_0
0.9756,0.2400,-0.3401,-0.6565,-1.5267,3.8168,0,0_0
0.9907,0.2473,-0.3484,-1.5878,-1.2519,5.0229,0,0_0
1.0073,0.2454,-0.3350,-2.2672,-1.0382,5.5878,0,0_0
1.0164,0.2449,-0.3269,-3.6870,-0.3511,4.0763,0,0_0
1.0195,0.2437,-0.3206,-4.0763,0.3282,1.9618,0,0_0
1.0024,0.2388,-0.2971,-3.0611,0.3817,-0.4885,0,0_0
0.9797,0.2534,-0.2759,-0.4351,-0.2061,-0.7328,0,0_0
0.9873,0.2485,-0.2844,1.6870,-0.8015,-0.6641,0,0_0
0.9702,0.2515,-0.3020,2.5038,-1.0840,-0.9618,0,0_0
0.9639,0.2456,-0.3074,2.3588,-1.5267,-0.6565,0,0_0
0.9607,0.2422,-0.3018,2.0916,-1.2595,-0.6718,0,0_0
0.9570,0.2395,-0.3140,2.2290,-1.3053,-0.5267,0,0_0
0.9568,0.2419,-0.3223,2.4198,-0.9847,1.8092,0,0_0
0.9773,0.2483,-0.3303,2.1298,-0.7099,3.2824,0,0_0
0.9856,0.2466,-0.3376,2.1221,-0.1908,4.6183,0,0_0
1.0066,0.2437,-0.3452,2.1221,1.2824,4.9466,0,0_0
1.0298,0.2388,-0.3489,1.3893,2.3817,3.2366,0,0_0
1.0256,0.2407,-0.3567,0.3206,3.1221,1.1221,0,0_0
1.0190,0.2358,-0.3301,-0.0229,2.6565,-0.0916,0,0_0
1.0112,0.2400,-0.3125,1.0687,2.0916,-0.5344,0,0_0
1.0085,0.2361,-0.3086,2.3053,0.9542,-1.9160,0,0_0
0.9924,0.2407,-0.3074,3.1450,0.4962,-2.5878,0,0_0
0.9739,0.2402,-0.3203,4.0076,0.1832,-3.2824,0,0_0
0.9771,0.2527,-0.3281,3.8321,0.4122,-2.5420,0,0_0
0.9707,0.2458,-0.3301,3.5115,0.7634,-1.2443,0,0_0
0.9656,0.2410,-0.3306,3.2061,0.8626,-0.2137,0,0_0
0.9714,0.2417,-0.3354,2.9771,1.1679,0.8397,0,0_0
0.9844,0.2476,-0.3367,1.8855,1.3206,1.1908,0,0_0
0.9856,0.2544,-0.3242,1.6870,1.4427,0.8779,0,0_0
0.9873,0.2483,-0.3088,2.3282,1.1603,-0.3817,0,0_0
0.9858,0.2451,-0.3157,3.7710,0.1832,-1.4962,0,0_0
0.9741,0.2581,-0.3169,4.9771,-0.5115,-1.9466,0,0_0
0.9785,0.2451,-0.3198,5.2977,-0.9237,-1.8473,0,0_0
0.9812,0.2566,-0.3318,5.1603,-0.9924,-1.9313,0,0_0
